player_name,country,years_active,matches,innings,not_outs,runs,high_score,batting_average,hundreds,fifties,ducks,batting_strike_rate,balls_faced,boundary_%,sixes_hit,fours_hit,consistency_score,player_impact_score,man_of_the_match_awards,catches_taken,stumpings,run_outs,matches_won_contribution_(%),bowling_wickets,bowling_average,bowling_economy_rate,bowling_strike_rate,best_bowling_figures,overs_bowled,five-wicket_hauls,ten-wicket_hauls
SR Tendulkar (IND),South Africa,2009-2022,664,782,49,34357,248*,48.52,100,164,15,77.52,17744,24.23,461,1206,61.56,94.33,5,88,25,76,88.99,278,14.14,3.28,59.49,6/21,330,29,8
KC Sangakkara (Asia/ICC/SL),South Africa,1982-2023,594,666,2,28016,319,46.77,63,153,11,125.1,9811,56.8,44,266,54.08,75.77,41,111,17,95,77.26,445,12.98,6.05,49.72,7/43,3381,5,9
RT Ponting (AUS/ICC),Bangladesh,2001-2022,560,668,9,27483,257,45.95,71,146,18,63.6,3060,68.12,141,75,52.8,72.4,20,130,20,98,31.76,292,14.01,4.45,31.3,3/10,4309,28,9
V Kohli (IND),West Indies,2013-2024,538,601,18,27134,254*,52.78,80,141,15,97.07,4148,37.93,72,1738,76.94,64.37,17,89,40,1,28.15,426,13.5,8.93,52.56,7/33,686,34,1
DPMD Jayawardene (Asia/SL),Pakistan,1999-2021,652,725,7,25957,374,39.15,54,136,0,70.18,9710,55.78,291,281,67.97,75.9,35,272,25,19,62.43,419,48.06,5.43,54.38,6/31,2064,48,9
JH Kallis (Afr/ICC/SA),West Indies,1993-2021,519,617,45,25534,224,49.10,62,149,2,80.62,15842,63.86,376,1873,87.63,60.55,29,22,19,54,54.46,517,44.72,9.87,32.66,4/44,568,13,6
R Dravid (Asia/ICC/IND),New Zealand,2001-2021,509,605,13,24208,270,45.41,48,146,8,110.24,9407,21.9,428,826,59.2,85.95,35,108,14,23,46.6,451,14.23,3.51,45.44,5/17,3265,33,7
BC Lara (ICC/WI),Bangladesh,1997-2021,430,521,16,22358,400*,46.28,53,111,2,91.77,18283,46.87,27,721,50.16,99.58,37,166,35,73,78.06,44,39.85,6.19,48.52,1/15,4396,9,6
ST Jayasuriya (Asia/SL),Pakistan,1986-2024,586,651,2,21032,340,34.14,42,103,18,61.25,11007,67.47,432,558,78.75,69.96,41,148,47,42,64.04,7,42.27,9.53,58.57,5/30,2743,43,3
S Chanderpaul (WI),England,1998-2022,454,553,35,20988,203*,45.72,41,125,12,125.12,9162,43.11,60,476,53.18,53.62,43,248,12,20,87.15,222,48.33,8.22,51.66,2/23,715,10,1
Inzamam-ul-Haq (Asia/ICC/PAK),Afghanistan,1996-2022,499,551,38,20580,329,43.32,35,129,14,118.25,2460,68.85,493,1622,87.7,53.54,29,102,2,36,29.62,432,39.47,6.15,13.82,5/22,1293,34,4
JE Root (ENG),Pakistan,2010-2024,352,462,43,20169,262,48.95,51,108,18,66.3,5644,65.27,251,955,86.78,50.55,8,31,20,16,61.43,562,33.0,3.86,51.36,6/42,3099,2,5
AB de Villiers (Afr/SA),Pakistan,2017-2022,420,484,40,20014,278*,48.11,47,109,18,61.26,7278,23.45,465,108,98.3,63.87,38,186,46,88,76.88,210,31.05,9.57,27.5,4/16,3794,4,3
CH Gayle (ICC/WI),Australia,2008-2024,483,551,21,19593,333,37.97,42,105,9,148.85,13891,49.96,85,626,87.75,56.66,8,21,38,51,46.53,325,39.56,9.6,49.43,1/39,3875,24,3
RG Sharma (IND),Bangladesh,2001-2021,488,519,21,19367,264,42.65,48,107,4,142.34,16318,55.3,405,1628,58.24,57.99,47,167,40,25,88.7,343,43.07,9.13,31.5,4/31,945,36,0
DA Warner (AUS),Pakistan,2001-2024,383,474,48,18995,335*,42.39,49,98,15,70.61,3275,29.04,64,681,82.01,76.79,30,109,14,52,59.46,558,44.42,6.96,27.57,7/39,2384,37,2
HM Amla (SA/World),Australia,1997-2021,349,437,27,18672,311*,46.56,55,88,2,68.51,1744,61.97,339,1347,90.24,58.54,27,241,12,41,26.55,6,38.8,9.67,25.68,2/23,1779,32,6
SC Ganguly (Asia/IND),Australia,2000-2021,424,488,42,18575,239,41.46,38,107,0,138.51,10251,30.61,153,1843,56.92,84.13,16,271,42,55,69.55,176,22.44,4.57,14.81,6/11,4978,34,0
SR Waugh (AUS),England,2006-2024,493,548,36,18496,200,41.65,35,95,1,136.27,19379,64.93,406,453,62.85,89.63,32,112,45,44,42.76,579,38.87,5.54,52.82,4/22,1583,28,9
KS Williamson (NZ),England,1997-2022,360,427,33,18266,251,48.06,45,98,11,126.75,3261,36.73,54,1338,55.87,99.2,43,244,19,71,68.09,581,24.24,7.98,38.6,7/19,2637,33,4
LRPL Taylor (NZ),England,2002-2023,450,510,25,18199,290,42.72,40,93,5,75.85,16882,21.4,182,1956,50.73,77.3,15,16,25,78,46.8,30,28.51,7.6,18.88,3/31,4684,10,1
Younis Khan (PAK),England,2003-2023,408,491,40,17790,313,39.88,41,83,19,88.05,14553,28.74,328,1841,68.98,93.4,29,264,6,13,56.96,153,47.31,8.06,48.49,6/32,4553,45,1
AR Border (AUS),England,1984-2024,429,517,13,17698,205,40.77,30,102,16,145.39,3880,26.85,447,1274,91.43,77.67,22,214,39,53,73.54,327,22.72,4.08,59.33,4/27,4516,7,6
TM Dilshan (SL),England,2005-2024,497,527,30,17671,193,38.16,39,83,2,122.14,4435,69.49,60,1051,90.46,87.51,41,266,48,47,76.62,364,24.23,3.0,36.74,1/43,1311,5,3
Mohammad Yousuf (Asia/PAK),Afghanistan,1993-2024,381,432,6,17300,223,45.52,39,97,4,94.46,10714,42.53,353,1718,75.07,96.94,24,219,0,49,33.31,66,36.72,4.63,41.05,3/42,855,22,0
MS Dhoni (Asia/IND),Pakistan,1985-2023,538,526,16,17266,224,44.96,16,108,15,111.05,10487,29.19,182,587,93.15,59.04,28,73,9,93,52.63,13,18.61,6.95,36.14,5/34,462,44,2
V Sehwag (Asia/ICC/IND),South Africa,1981-2022,374,443,31,17253,319,40.31,38,72,11,119.85,10278,21.64,490,542,71.05,84.34,44,229,1,52,68.88,345,10.24,9.69,34.85,2/13,4634,5,0
GC Smith (Afr/ICC/SA),New Zealand,2009-2022,347,432,22,17236,277,42.34,37,90,6,142.1,18453,55.16,121,901,85.02,61.31,0,55,0,98,61.56,364,40.89,9.53,13.6,6/32,4118,3,0
MJ Clarke (AUS),South Africa,1986-2022,394,449,9,17112,329*,45.26,36,86,8,88.79,2580,51.4,293,1947,60.3,81.99,48,279,5,9,36.68,412,21.21,3.81,57.07,5/30,4867,48,3
ME Waugh (AUS),South Africa,1993-2021,372,445,36,16529,173,40.51,38,97,5,136.39,19850,46.96,417,1556,56.61,61.48,41,240,47,94,50.65,249,42.45,3.68,19.76,1/18,2748,32,1
SPD Smith (AUS),Afghanistan,1990-2023,340,398,35,16406,239,47.83,44,80,15,109.37,9638,31.87,474,1778,63.34,59.93,0,150,1,56,48.16,252,23.96,4.46,24.96,4/38,4369,30,0
Javed Miandad (PAK),South Africa,2012-2023,357,407,26,16213,280*,46.99,31,93,3,69.93,3200,37.68,183,1343,60.47,53.54,3,281,26,15,38.31,550,42.97,6.14,25.74,2/12,4708,41,1
DL Haynes (WI),Bangladesh,1995-2022,354,439,48,16135,184,41.80,35,96,11,110.51,16089,38.49,292,957,91.46,93.27,44,134,45,28,42.26,501,28.03,7.68,12.87,4/25,692,44,0
AN Cook (ENG),West Indies,2012-2023,257,387,35,15737,294,42.88,38,76,0,101.15,9969,51.55,433,139,61.53,89.12,27,39,46,52,69.59,382,26.52,4.03,44.71,4/13,1178,40,6
