player_name,country,years_active,matches,innings,not_outs,runs,high_score,batting_average,hundreds,fifties,ducks,batting_strike_rate,balls_faced,boundary_%,sixes_hit,fours_hit,consistency_score,player_impact_score,man_of_the_match_awards,catches_taken,stumpings,run_outs,matches_won_contribution_(%),bowling_wickets,bowling_average,bowling_economy_rate,bowling_strike_rate,best_bowling_figures,overs_bowled,five-wicket_hauls,ten-wicket_hauls,strike_rate
SR Tendulkar (IND),South Africa,2009-2022,664,782,49,34357,248*,48.52,100,164,15,77.52,17744,24.23,461,1206,61.56,94.33,5,88,25,76,88.99,278,14.14,3.28,59.49,6/21,330,29,8,5174.246987951807
KC Sangakkara (Asia/ICC/SL),South Africa,1982-2023,594,666,2,28016,319,46.77,63,153,11,125.1,9811,56.8,44,266,54.08,75.77,41,111,17,95,77.26,445,12.98,6.05,49.72,7/43,3381,5,9,4716.498316498316
RT Ponting (AUS/ICC),Bangladesh,2001-2022,560,668,9,27483,257,45.95,71,146,18,63.6,3060,68.12,141,75,52.8,72.4,20,130,20,98,31.76,292,14.01,4.45,31.3,3/10,4309,28,9,4907.678571428572
V Kohli (IND),West Indies,2013-2024,538,601,18,27134,254*,52.78,80,141,15,97.07,4148,37.93,72,1738,76.94,64.37,17,89,40,1,28.15,426,13.5,8.93,52.56,7/33,686,34,1,5043.494423791822
DPMD Jayawardene (Asia/SL),Pakistan,1999-2021,652,725,7,25957,374,39.15,54,136,0,70.18,9710,55.78,291,281,67.97,75.9,35,272,25,19,62.43,419,48.06,5.43,54.38,6/31,2064,48,9,3981.1349693251536
JH Kallis (Afr/ICC/SA),West Indies,1993-2021,519,617,45,25534,224,49.10,62,149,2,80.62,15842,63.86,376,1873,87.63,60.55,29,22,19,54,54.46,517,44.72,9.87,32.66,4/44,568,13,6,4919.845857418111
R Dravid (Asia/ICC/IND),New Zealand,2001-2021,509,605,13,24208,270,45.41,48,146,8,110.24,9407,21.9,428,826,59.2,85.95,35,108,14,23,46.6,451,14.23,3.51,45.44,5/17,3265,33,7,4755.992141453831
BC Lara (ICC/WI),Bangladesh,1997-2021,430,521,16,22358,400*,46.28,53,111,2,91.77,18283,46.87,27,721,50.16,99.58,37,166,35,73,78.06,44,39.85,6.19,48.52,1/15,4396,9,6,5199.53488372093
ST Jayasuriya (Asia/SL),Pakistan,1986-2024,586,651,2,21032,340,34.14,42,103,18,61.25,11007,67.47,432,558,78.75,69.96,41,148,47,42,64.04,7,42.27,9.53,58.57,5/30,2743,43,3,3589.078498293515
S Chanderpaul (WI),England,1998-2022,454,553,35,20988,203*,45.72,41,125,12,125.12,9162,43.11,60,476,53.18,53.62,43,248,12,20,87.15,222,48.33,8.22,51.66,2/23,715,10,1,4622.907488986784
Inzamam-ul-Haq (Asia/ICC/PAK),Afghanistan,1996-2022,499,551,38,20580,329,43.32,35,129,14,118.25,2460,68.85,493,1622,87.7,53.54,29,102,2,36,29.62,432,39.47,6.15,13.82,5/22,1293,34,4,4124.248496993988
JE Root (ENG),Pakistan,2010-2024,352,462,43,20169,262,48.95,51,108,18,66.3,5644,65.27,251,955,86.78,50.55,8,31,20,16,61.43,562,33.0,3.86,51.36,6/42,3099,2,5,5729.829545454545
AB de Villiers (Afr/SA),Pakistan,2017-2022,420,484,40,20014,278*,48.11,47,109,18,61.26,7278,23.45,465,108,98.3,63.87,38,186,46,88,76.88,210,31.05,9.57,27.5,4/16,3794,4,3,4765.238095238095
CH Gayle (ICC/WI),Australia,2008-2024,483,551,21,19593,333,37.97,42,105,9,148.85,13891,49.96,85,626,87.75,56.66,8,21,38,51,46.53,325,39.56,9.6,49.43,1/39,3875,24,3,4056.521739130435
RG Sharma (IND),Bangladesh,2001-2021,488,519,21,19367,264,42.65,48,107,4,142.34,16318,55.3,405,1628,58.24,57.99,47,167,40,25,88.7,343,43.07,9.13,31.5,4/31,945,36,0,3968.647540983606
DA Warner (AUS),Pakistan,2001-2024,383,474,48,18995,335*,42.39,49,98,15,70.61,3275,29.04,64,681,82.01,76.79,30,109,14,52,59.46,558,44.42,6.96,27.57,7/39,2384,37,2,4959.53002610966
HM Amla (SA/World),Australia,1997-2021,349,437,27,18672,311*,46.56,55,88,2,68.51,1744,61.97,339,1347,90.24,58.54,27,241,12,41,26.55,6,38.8,9.67,25.68,2/23,1779,32,6,5350.143266475645
SC Ganguly (Asia/IND),Australia,2000-2021,424,488,42,18575,239,41.46,38,107,0,138.51,10251,30.61,153,1843,56.92,84.13,16,271,42,55,69.55,176,22.44,4.57,14.81,6/11,4978,34,0,4380.896226415094
SR Waugh (AUS),England,2006-2024,493,548,36,18496,200,41.65,35,95,1,136.27,19379,64.93,406,453,62.85,89.63,32,112,45,44,42.76,579,38.87,5.54,52.82,4/22,1583,28,9,3751.724137931034
KS Williamson (NZ),England,1997-2022,360,427,33,18266,251,48.06,45,98,11,126.75,3261,36.73,54,1338,55.87,99.2,43,244,19,71,68.09,581,24.24,7.98,38.6,7/19,2637,33,4,5073.888888888889
LRPL Taylor (NZ),England,2002-2023,450,510,25,18199,290,42.72,40,93,5,75.85,16882,21.4,182,1956,50.73,77.3,15,16,25,78,46.8,30,28.51,7.6,18.88,3/31,4684,10,1,4044.222222222222
Younis Khan (PAK),England,2003-2023,408,491,40,17790,313,39.88,41,83,19,88.05,14553,28.74,328,1841,68.98,93.4,29,264,6,13,56.96,153,47.31,8.06,48.49,6/32,4553,45,1,4360.294117647059
AR Border (AUS),England,1984-2024,429,517,13,17698,205,40.77,30,102,16,145.39,3880,26.85,447,1274,91.43,77.67,22,214,39,53,73.54,327,22.72,4.08,59.33,4/27,4516,7,6,4125.407925407925
TM Dilshan (SL),England,2005-2024,497,527,30,17671,193,38.16,39,83,2,122.14,4435,69.49,60,1051,90.46,87.51,41,266,48,47,76.62,364,24.23,3.0,36.74,1/43,1311,5,3,3555.533199195171
Mohammad Yousuf (Asia/PAK),Afghanistan,1993-2024,381,432,6,17300,223,45.52,39,97,4,94.46,10714,42.53,353,1718,75.07,96.94,24,219,0,49,33.31,66,36.72,4.63,41.05,3/42,855,22,0,4540.682414698163
MS Dhoni (Asia/IND),Pakistan,1985-2023,538,526,16,17266,224,44.96,16,108,15,111.05,10487,29.19,182,587,93.15,59.04,28,73,9,93,52.63,13,18.61,6.95,36.14,5/34,462,44,2,3209.293680297398
V Sehwag (Asia/ICC/IND),South Africa,1981-2022,374,443,31,17253,319,40.31,38,72,11,119.85,10278,21.64,490,542,71.05,84.34,44,229,1,52,68.88,345,10.24,9.69,34.85,2/13,4634,5,0,4613.101604278075
GC Smith (Afr/ICC/SA),New Zealand,2009-2022,347,432,22,17236,277,42.34,37,90,6,142.1,18453,55.16,121,901,85.02,61.31,0,55,0,98,61.56,364,40.89,9.53,13.6,6/32,4118,3,0,4967.1469740634
MJ Clarke (AUS),South Africa,1986-2022,394,449,9,17112,329*,45.26,36,86,8,88.79,2580,51.4,293,1947,60.3,81.99,48,279,5,9,36.68,412,21.21,3.81,57.07,5/30,4867,48,3,4343.147208121827
ME Waugh (AUS),South Africa,1993-2021,372,445,36,16529,173,40.51,38,97,5,136.39,19850,46.96,417,1556,56.61,61.48,41,240,47,94,50.65,249,42.45,3.68,19.76,1/18,2748,32,1,4443.279569892473
SPD Smith (AUS),Afghanistan,1990-2023,340,398,35,16406,239,47.83,44,80,15,109.37,9638,31.87,474,1778,63.34,59.93,0,150,1,56,48.16,252,23.96,4.46,24.96,4/38,4369,30,0,4825.294117647059
Javed Miandad (PAK),South Africa,2012-2023,357,407,26,16213,280*,46.99,31,93,3,69.93,3200,37.68,183,1343,60.47,53.54,3,281,26,15,38.31,550,42.97,6.14,25.74,2/12,4708,41,1,4541.456582633053
DL Haynes (WI),Bangladesh,1995-2022,354,439,48,16135,184,41.80,35,96,11,110.51,16089,38.49,292,957,91.46,93.27,44,134,45,28,42.26,501,28.03,7.68,12.87,4/25,692,44,0,4557.909604519774
AN Cook (ENG),West Indies,2012-2023,257,387,35,15737,294,42.88,38,76,0,101.15,9969,51.55,433,139,61.53,89.12,27,39,46,52,69.59,382,26.52,4.03,44.71,4/13,1178,40,6,6123.346303501946
PA de Silva (SL),New Zealand,2002-2021,401,455,21,15645,267,37.78,31,86,10,61.73,13125,52.1,348,1222,76.52,81.07,36,17,39,3,85.26,376,26.36,3.91,46.57,3/45,3863,3,9,3901.496259351621
M Azharuddin (IND),New Zealand,1980-2022,433,455,25,15593,199,39.77,29,79,3,112.94,2312,28.67,107,1291,57.59,52.13,21,38,12,59,51.3,216,29.2,9.21,50.55,5/31,3126,1,0,3601.154734411085
AC Gilchrist (AUS/ICC),New Zealand,2002-2023,396,429,43,15461,204*,38.94,33,81,14,74.55,7443,23.17,475,1722,90.59,57.73,18,16,36,67,48.01,417,48.46,9.19,47.65,5/19,1873,25,2,3904.2929292929293
SP Fleming (ICC/NZ),Sri Lanka,1998-2023,396,463,3,15319,274*,35.46,17,95,5,103.88,10053,44.69,200,562,54.89,50.89,34,152,47,37,41.49,318,46.38,7.25,12.99,6/20,1634,11,8,3868.434343434343
Mushfiqur Rahim (BAN),Australia,2006-2021,467,520,1,15299,219*,34.22,20,82,17,88.25,4867,30.76,211,400,82.37,70.13,34,93,17,26,45.27,408,10.69,7.61,31.8,5/25,3209,37,2,3276.017130620985
AD Mathews (SL),England,2012-2024,430,470,39,15272,200*,40.94,19,90,4,126.93,9273,63.76,169,1485,61.07,97.73,12,231,25,43,41.68,64,19.68,5.09,37.31,3/10,1994,10,7,3551.6279069767443
IVA Richards (WI),Australia,2010-2021,308,349,31,15261,291,48.75,35,90,4,108.99,18657,20.93,129,1769,82.81,59.72,41,12,32,35,22.93,311,15.43,4.71,27.78,3/26,4784,49,8,4954.87012987013
Tamim Iqbal (BAN/ICC/World),Pakistan,1997-2024,391,452,41,15249,206,35.21,25,94,13,143.38,13883,58.04,184,765,54.97,99.08,43,67,29,70,55.12,544,28.16,8.32,44.26,1/18,1211,2,4,3900.0
ML Hayden (AUS/ICC),England,2009-2021,273,348,43,15066,380,47.67,40,69,7,135.27,7281,54.3,36,493,88.79,60.84,28,273,47,86,27.46,99,18.08,5.02,47.63,1/36,1621,3,3,5518.681318681319
Shakib Al Hasan (BAN),West Indies,2012-2023,447,491,47,14730,217,33.86,14,100,0,60.11,1598,28.45,67,99,66.19,92.64,49,149,28,60,34.62,286,27.3,3.93,51.95,6/15,4651,24,2,3295.302013422819
BB McCullum (NZ),New Zealand,1995-2021,432,474,43,14676,302,34.37,19,76,17,110.89,1858,36.31,307,1965,85.52,63.9,45,153,10,64,69.25,248,16.98,9.87,58.5,2/39,361,8,7,3397.222222222222
HH Gibbs (SA),South Africa,2013-2022,361,417,34,14661,228,37.30,35,66,11,78.01,10167,61.92,298,253,55.28,71.74,29,77,31,37,69.76,314,19.95,5.73,52.84,1/50,242,18,8,4061.2188365650973
G Kirsten (SA),Australia,2000-2023,286,361,49,14087,275,43.07,34,79,12,113.32,14098,46.16,394,1920,54.51,93.94,24,295,8,96,37.36,251,47.14,5.55,28.42,4/48,3844,16,4,4925.524475524476
MS Atapattu (SL),Bangladesh,1985-2023,360,416,38,14036,249,38.03,27,76,5,120.02,7058,23.81,475,678,63.34,74.44,21,130,20,74,27.11,246,45.32,6.37,11.0,4/30,736,9,2,3898.8888888888887
Babar Azam (PAK),England,2006-2022,296,331,42,13908,196,47.30,31,94,15,78.36,521,22.12,353,1609,89.94,79.14,5,133,29,59,43.44,150,27.62,8.47,32.92,1/24,3477,12,1,4698.648648648648
KP Pietersen (ENG/ICC),West Indies,1991-2021,277,342,39,13797,227,44.07,32,67,17,76.1,16121,62.8,69,735,98.16,56.33,17,125,27,75,21.83,465,47.02,3.59,44.16,7/10,3609,10,5,4980.866425992779
MJ Guptill (NZ),Pakistan,2018-2023,367,402,9,13463,237*,35.90,23,76,18,88.33,12982,63.84,439,117,98.91,78.51,47,120,1,43,64.54,120,28.75,6.14,39.68,4/48,4363,23,4,3668.3923705722073
DC Boon (AUS),Pakistan,1994-2024,288,367,2,13386,200,40.44,26,69,11,107.94,5369,64.67,259,1438,92.53,79.81,30,161,37,50,29.06,432,12.35,4.18,34.54,5/46,3080,48,2,4647.916666666666
IR Bell (ENG),Bangladesh,2008-2024,287,370,39,13331,235,40.27,26,82,8,144.65,13709,60.2,347,888,50.85,50.96,19,263,11,8,32.04,284,45.37,6.53,11.47,5/43,1636,46,1,4644.947735191638
SM Gavaskar (IND),Bangladesh,1995-2023,233,316,33,13214,236*,46.20,35,72,2,60.73,17015,65.43,296,132,64.21,88.34,15,19,39,6,47.29,425,39.29,7.46,44.37,4/22,4864,40,0,5671.244635193133
GA Gooch (ENG),West Indies,2004-2021,243,337,35,13190,333,40.58,28,69,5,86.6,18127,23.59,261,219,88.63,77.74,13,246,10,30,74.13,153,37.46,8.5,43.02,7/24,2182,26,9,5427.98353909465
AJ Stewart (ENG),Pakistan,1988-2021,303,397,45,13140,190,36.29,19,73,13,134.25,9852,65.01,153,701,95.59,72.96,17,219,33,4,70.02,244,14.02,8.66,18.61,2/32,3207,12,1,4336.633663366337
Saleem Malik (PAK),Afghanistan,1980-2021,386,410,30,12938,237,36.96,20,76,12,61.53,5296,38.85,84,1508,98.95,99.34,2,115,10,16,35.39,546,36.56,6.64,48.06,2/48,381,23,9,3351.813471502591
Saeed Anwar (PAK),Sri Lanka,1987-2023,302,335,46,12876,194,41.00,31,68,7,118.23,12266,27.51,391,656,90.02,69.47,45,291,33,26,67.08,97,25.09,5.66,44.11,6/38,126,5,0,4263.576158940397
Mohammad Hafeez (PAK),Pakistan,2003-2023,392,429,4,12780,224,32.51,21,64,5,69.75,12946,22.61,348,707,83.71,74.48,26,146,46,54,70.87,489,32.93,7.19,44.47,6/43,1079,37,6,3260.204081632653
CG Greenidge (WI),Australia,1996-2021,236,312,40,12692,226,44.84,30,65,10,112.19,7668,36.93,319,804,81.22,67.78,4,15,15,10,47.42,169,42.05,6.96,43.98,6/23,4236,19,3,5377.966101694916
Q de Kock (SA),South Africa,2016-2021,301,337,20,12654,178,40.17,28,68,14,104.4,8828,26.59,337,1327,57.91,98.02,3,76,18,17,42.33,346,16.26,4.88,15.69,4/19,4256,18,2,4203.986710963455
A Ranatunga (SL),Bangladesh,2001-2022,362,410,38,12561,135*,35.78,8,87,10,142.67,8337,31.73,30,1457,94.25,66.28,1,290,22,51,35.84,495,34.63,8.1,21.65,7/39,4569,4,5,3469.889502762431
MEK Hussey (AUS),Sri Lanka,1991-2024,302,324,5,12398,195,49.00,22,72,16,83.45,14238,31.58,365,1652,98.05,66.42,36,281,41,50,50.5,475,37.32,3.51,31.05,5/27,4415,3,9,4105.298013245033
RB Richardson (WI),Sri Lanka,1986-2024,310,363,17,12197,194,37.99,21,71,0,92.26,17035,30.02,327,1469,86.31,90.5,28,171,17,56,34.06,444,43.11,3.79,42.2,7/16,3288,10,2,3934.516129032258
RR Sarwan (WI),South Africa,2005-2022,286,339,25,11944,291,40.48,20,71,12,138.52,6840,46.68,377,1999,85.06,63.59,22,120,23,34,49.91,250,38.86,9.07,33.31,3/39,3113,36,0,4176.223776223776
Shoaib Malik (ICC/PAK),New Zealand,2001-2024,446,429,29,11867,245,33.90,12,61,15,111.56,18414,46.01,80,416,91.4,62.5,49,223,20,0,23.94,156,34.16,4.32,56.71,3/27,4474,29,4,2660.762331838565
NJ Astle (NZ),Pakistan,1994-2024,308,358,49,11866,222,35.63,27,65,2,137.47,17701,34.52,480,163,98.51,98.46,13,101,17,25,63.42,268,40.87,4.8,11.33,1/12,4065,5,0,3852.5974025974024
